Stock,Model,MAE,MSE,RMSE,R2,MAPE (%),Directional Accuracy (%),Best Val Loss,Epochs Trained
INFY,TCDformer (Transformer),0.18704626893484463,0.06390556756354203,0.25279550542591145,0.9898397914854825,1.1673672681092282,67.65498652291106,2.4479097123730754e-05,150
INFY,TCDformer-LSTM,0.20270507053662373,0.0731857976715786,0.27052873723798476,0.9883643476930992,1.2568790137013712,67.11590296495957,3.0305759673865394e-05,109
INFY,TCDformer-GRU,0.1899090761779457,0.06554654958811977,0.2560206038351597,0.989578895288579,1.1819076737565648,67.9245283018868,2.467154622536327e-05,105
HUL,TCDformer (Transformer),25.707822568333054,1053.9772762632515,32.46501619071291,0.9403752658416726,1.119587603310622,64.86486486486487,7.341913715208648e-05,24
HUL,TCDformer-LSTM,19.91094888445502,635.0029282563861,25.199264438796344,0.9640771374869853,0.8623786891229897,70.27027027027027,3.2088213015413206e-05,71
HUL,TCDformer-GRU,19.026768275669642,587.9315312839342,24.247299463732745,0.9667400217769523,0.8231196301953937,70.27027027027027,2.9533652241298115e-05,75
