Stock,Model,MAE,MSE,RMSE,R2,MAPE (%),Directional Accuracy (%),Best Val Loss,Epochs Trained
INFY,TCDformer (Transformer),0.187047233,0.063905789,0.252795944,0.989839757,1.167368796,67.65498652,2.45E-05,150
INFY,TCDformer-LSTM,0.202707093,0.07318939,0.270535377,0.988363777,1.25689341,67.11590296,3.03E-05,109
INFY,TCDformer-GRU,0.189942321,0.065564883,0.256056405,0.989575981,1.182147829,67.65498652,2.47E-05,105
HUL,TCDformer (Transformer),25.70779954,1053.976328,32.46500158,0.94037532,1.119586524,64.86486486,7.34E-05,24
HUL,TCDformer-LSTM,19.90011917,634.3956368,25.18721177,0.964111493,0.861887739,70.27027027,3.21E-05,71
HUL,TCDformer-GRU,18.94255226,576.6598014,24.01374193,0.967377677,0.820553885,70.27027027,2.93E-05,92
